name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-1827	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1828	0	0	0	0	0	0	0	0	1	6	2	1	1	1	0	0	0
CVE-2016-1829	0	0	0	0	0	0	0	0	2	5	2	1	1	1	0	0	0
CVE-2016-1830	0	0	0	0	0	0	0	0	2	5	2	1	1	1	0	0	0
CVE-2016-1831	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1832	0	0	0	0	0	0	0	0	2	5	2	1	1	1	0	0	0
CVE-2016-1833	0	0	0	0	0	0	0	0	2	5	2	1	1	1	0	0	0
CVE-2016-1834	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1835	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1836	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1837	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1838	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1839	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1840	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1841	0	0	0	0	0	0	0	0	2	5	2	1	1	1	0	0	0
CVE-2016-1842	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1843	0	0	0	0	0	0	0	0	1	9	2	1	1	1	0	0	0
CVE-2016-1844	0	0	0	0	0	0	0	0	1	9	2	1	1	1	0	0	0
CVE-2016-1846	0	0	0	0	0	0	0	0	1	12	2	1	1	1	0	0	0
CVE-2016-1847	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1848	0	0	0	0	0	8	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1849	0	0	0	0	0	0	1	1	1	2	0	0	4	1	0	0	0
CVE-2016-1850	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1851	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1852	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1853	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1854	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0
CVE-2016-1855	0	0	0	0	0	0	0	0	2	10	2	1	1	1	0	0	0
CVE-2016-1856	0	0	0	0	0	0	0	0	2	2	0	0	3	3	0	0	0
CVE-2016-1857	0	0	0	0	0	0	0	0	2	2	0	0	3	3	0	0	0
CVE-2016-1858	0	0	0	0	0	0	0	0	2	2	0	0	3	1	0	0	0
CVE-2016-1859	0	0	0	0	0	0	0	0	4	2	0	0	3	1	0	0	0
CVE-2016-1886	0	0	0	0	0	1	106	21	3	7	4	1	1	4	13	4	0
CVE-2016-1887	0	0	0	0	0	1	141	10	0	1	0	2	0	4	11	4	0
CVE-2016-2015	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2016	0	0	5	5	2	0	0	3	0	0	0	0	0	0	0	0	0
CVE-2016-2077	0	0	0	0	0	0	3	19	9	1	2	2	0	0	0	0	0
CVE-2016-2099	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2100	0	0	0	0	0	0	0	0	2	3	0	0	3	1	0	1	0
CVE-2016-2151	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	0	0
CVE-2016-2152	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	0	0
CVE-2016-2153	0	0	0	0	0	0	0	0	0	0	0	7	0	3	1	0	0
CVE-2016-2154	0	0	0	0	0	0	0	0	0	0	0	6	0	3	4	0	0
CVE-2016-2155	0	0	0	0	0	0	0	0	0	0	0	7	0	3	1	0	0
CVE-2016-2156	0	0	0	0	0	0	0	0	0	0	0	10	0	3	1	0	0
CVE-2016-2157	0	0	0	0	0	0	0	0	0	0	0	9	0	4	1	0	0
CVE-2016-2158	0	0	0	0	0	0	0	0	0	0	0	9	1	3	1	0	0
CVE-2016-2159	0	0	0	0	0	0	0	0	0	0	0	9	1	3	1	0	0
CVE-2016-2189	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2190	0	0	0	0	0	0	0	0	0	0	0	17	1	3	1	0	0
CVE-2016-2194	0	1	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0
CVE-2016-2195	0	1	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0
CVE-2016-2196	0	2	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0
CVE-2016-2208	0	0	0	0	0	2137	213	67	44	17	11	7	1	9	6	5	0
CVE-2016-2221	0	0	0	0	0	0	0	0	0	0	3	0	2	4	1	0	0
CVE-2016-2222	0	0	0	0	0	0	0	0	0	0	3	0	1	4	1	0	0
