name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-2153	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2154	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2155	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2156	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2157	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2158	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2159	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2189	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2190	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2194	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2195	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2196	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2208	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CVE-2016-2221	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-2222	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-2296	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2297	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2298	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2554	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-2849	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2850	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2855	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-2860	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3185	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3627	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3664	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-3674	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-3693	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-3705	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3719	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3721	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3722	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
